"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-02-13T09:37:34.431614448Z[Etc/UTC]","0.0","1.34"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-02-13T09:37:35.886709325Z[Etc/UTC]","0.0","1.24"
