"Story","Title","Result","Date","Stability","Duration (s)"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-02-13T09:38:20.205925115Z[Etc/UTC]","0.0","1.0"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-02-13T09:38:21.313721116Z[Etc/UTC]","0.0","1.0"
"Deleting todos","Delete an active item","SUCCESS","2022-02-13T09:37:13.372040138Z[Etc/UTC]","0.0","1.13"
"Deleting todos","Delete all the items","SUCCESS","2022-02-13T09:37:14.621028323Z[Etc/UTC]","0.0","3.29"
"Deleting todos","Should be able to delete todos with page objects","SUCCESS","2022-02-13T09:37:51.94914858Z[Etc/UTC]","0.0","0.99"
"Deleting todos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2022-02-13T09:37:53.047105707Z[Etc/UTC]","0.0","1.01"
