"Story","Title","Result","Date","Stability","Duration (s)"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2018-10-15T18:37:35.368+05:30[Asia/Kolkata]","0.0","12.38"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2018-10-15T18:37:47.8+05:30[Asia/Kolkata]","0.0","10.82"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2018-10-15T18:37:58.674+05:30[Asia/Kolkata]","0.0","10.47"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2018-10-15T18:38:09.201+05:30[Asia/Kolkata]","0.0","12.5"
