"Story","Title","Result","Date","Stability","Duration (s)"
"Clear completed todos","Should not be able to clear completed todos if none are complete","SUCCESS","2022-02-13T09:30:12.868780104Z[Etc/UTC]","0.0","0.9"
"Clear completed todos","Should be able to clear completed todos","SUCCESS","2022-02-13T09:30:13.872667036Z[Etc/UTC]","0.0","1.21"
"Clear completed todos","Should be able to clear completed todos with page objects","SUCCESS","2022-02-13T09:29:42.043704806Z[Etc/UTC]","0.0","1.25"
"Clear completed todos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2022-02-13T09:29:43.401023825Z[Etc/UTC]","0.0","0.93"
